Date,SiteName,LocationName,LocationGroup,WeekDay,BRCYear,BRCQuarter,BRCMonth,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
03/05/2009,York,Coney Street,,Sunday,2009,,April,17,36718,,36718,,,,,,
03/05/2009,York,Parliament Street at M&S,,Sunday,2009,,April,17,28124,,28124,,,,,,
27/04/2009,York,Coney Street,,Monday,2009,,April,17,22073,,22073,,,,,,
27/04/2009,York,Parliament Street at M&S,,Monday,2009,,April,17,14041,,14041,,,,,,
28/04/2009,York,Coney Street,,Tuesday,2009,,April,17,23581,,23581,,,,,,
28/04/2009,York,Parliament Street at M&S,,Tuesday,2009,,April,17,16783,,16783,,,,,,
29/04/2009,York,Coney Street,,Wednesday,2009,,April,17,28681,,28681,,,,,,
29/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,April,17,24088,,24088,,,,,,
30/04/2009,York,Coney Street,,Thursday,2009,,April,17,27323,,27323,,,,,,
30/04/2009,York,Parliament Street at M&S,,Thursday,2009,,April,17,18547,,18547,,,,,,
04/05/2009,York,Coney Street,,Monday,2009,,May,18,34311,,34311,,,,,,
04/05/2009,York,Parliament Street at M&S,,Monday,2009,,May,18,20637,,20637,,,,,,
05/05/2009,York,Coney Street,,Tuesday,2009,,May,18,25722,,25722,,,,,,
05/05/2009,York,Parliament Street at M&S,,Tuesday,2009,,May,18,17417,,17417,,,,,,
06/05/2009,York,Coney Street,,Wednesday,2009,,May,18,27714,,27714,,,,,,
06/05/2009,York,Parliament Street at M&S,,Wednesday,2009,,May,18,23599,,23599,,,,,,
07/05/2009,York,Coney Street,,Thursday,2009,,May,18,26108,,26108,,,,,,
07/05/2009,York,Parliament Street at M&S,,Thursday,2009,,May,18,20089,,20089,,,,,,
08/05/2009,York,Coney Street,,Friday,2009,,May,18,27529,,27529,,,,,,
08/05/2009,York,Parliament Street at M&S,,Friday,2009,,May,18,28381,,28381,,,,,,
09/05/2009,York,Coney Street,,Saturday,2009,,May,18,48448,,48448,,,,,,
09/05/2009,York,Parliament Street at M&S,,Saturday,2009,,May,18,35621,,35621,,,,,,
10/05/2009,York,Coney Street,,Sunday,2009,,May,18,26934,,26934,,,,,,
10/05/2009,York,Parliament Street at M&S,,Sunday,2009,,May,18,13552,,13552,,,,,,
11/05/2009,York,Coney Street,,Monday,2009,,May,19,24555,,24555,,,,,,
11/05/2009,York,Parliament Street at M&S,,Monday,2009,,May,19,25826,,25826,,,,,,
12/05/2009,York,Coney Street,,Tuesday,2009,,May,19,27167,,27167,,,,,,
12/05/2009,York,Parliament Street at M&S,,Tuesday,2009,,May,19,23603,,23603,,,,,,
13/05/2009,York,Coney Street,,Wednesday,2009,,May,19,27454,,27454,,,,,,
13/05/2009,York,Parliament Street at M&S,,Wednesday,2009,,May,19,21064,,21064,,,,,,
14/05/2009,York,Coney Street,,Thursday,2009,,May,19,26510,,26510,,,,,,
14/05/2009,York,Parliament Street at M&S,,Thursday,2009,,May,19,17393,,17393,,,,,,
15/05/2009,York,Coney Street,,Friday,2009,,May,19,27832,,27832,,,,,,
15/05/2009,York,Parliament Street at M&S,,Friday,2009,,May,19,19342,,19342,,,,,,
16/05/2009,York,Coney Street,,Saturday,2009,,May,19,48136,,48136,,,,,,
16/05/2009,York,Parliament Street at M&S,,Saturday,2009,,May,19,34721,,34721,,,,,,
17/05/2009,York,Coney Street,,Sunday,2009,,May,19,25358,,25358,,,,,,
17/05/2009,York,Parliament Street at M&S,,Sunday,2009,,May,19,13496,,13496,,,,,,
18/05/2009,York,Coney Street,,Monday,2009,,May,20,25767,,25767,,,,,,
18/05/2009,York,Parliament Street at M&S,,Monday,2009,,May,20,20470,,20470,,,,,,
19/05/2009,York,Coney Street,,Tuesday,2009,,May,20,24367,,24367,,,,,,
19/05/2009,York,Parliament Street at M&S,,Tuesday,2009,,May,20,18025,,18025,,,,,,
20/05/2009,York,Coney Street,,Wednesday,2009,,May,20,28590,,28590,,,,,,
20/05/2009,York,Parliament Street at M&S,,Wednesday,2009,,May,20,22785,,22785,,,,,,
21/05/2009,York,Coney Street,,Thursday,2009,,May,20,27013,,27013,,,,,,
21/05/2009,York,Parliament Street at M&S,,Thursday,2009,,May,20,24009,,24009,,,,,,
22/05/2009,York,Coney Street,,Friday,2009,,May,20,33645,,33645,,,,,,
22/05/2009,York,Parliament Street at M&S,,Friday,2009,,May,20,24610,,24610,,,,,,
23/05/2009,York,Coney Street,,Saturday,2009,,May,20,52131,,52131,,,,,,
23/05/2009,York,Parliament Street at M&S,,Saturday,2009,,May,20,34652,,34652,,,,,,
24/05/2009,York,Coney Street,,Sunday,2009,,May,20,33510,,33510,,,,,,
24/05/2009,York,Parliament Street at M&S,,Sunday,2009,,May,20,33833,,33833,,,,,,
25/05/2009,York,Coney Street,,Monday,2009,,May,21,34679,,34679,,,,,,
25/05/2009,York,Parliament Street at M&S,,Monday,2009,,May,21,25760,,25760,,,,,,
26/05/2009,York,Coney Street,,Tuesday,2009,,May,21,35263,,35263,,,,,,
26/05/2009,York,Parliament Street at M&S,,Tuesday,2009,,May,21,34685,,34685,,,,,,
27/05/2009,York,Coney Street,,Wednesday,2009,,May,21,36122,,36122,,,,,,
27/05/2009,York,Parliament Street at M&S,,Wednesday,2009,,May,21,21603,,21603,,,,,,
28/05/2009,York,Coney Street,,Thursday,2009,,May,21,34446,,34446,,,,,,
28/05/2009,York,Parliament Street at M&S,,Thursday,2009,,May,21,31831,,31831,,,,,,
29/05/2009,York,Coney Street,,Friday,2009,,May,21,41454,,41454,,,,,,
29/05/2009,York,Parliament Street at M&S,,Friday,2009,,May,21,36617,,36617,,,,,,
30/05/2009,York,Coney Street,,Saturday,2009,,May,21,40790,,40790,,,,,,
30/05/2009,York,Parliament Street at M&S,,Saturday,2009,,May,21,43826,,43826,,,,,,
31/05/2009,York,Coney Street,,Sunday,2009,,May,21,25144,,25144,,,,,,
31/05/2009,York,Parliament Street at M&S,,Sunday,2009,,May,21,21315,,21315,,,,,,
01/06/2009,York,Coney Street,,Monday,2009,,June,22,25566,,25566,,,,,,
01/06/2009,York,Parliament Street at M&S,,Monday,2009,,June,22,32365,,32365,,,,,,
02/06/2009,York,Coney Street,,Tuesday,2009,,June,22,25110,,25110,,,,,,
02/06/2009,York,Parliament Street at M&S,,Tuesday,2009,,June,22,24365,,24365,,,,,,
03/06/2009,York,Coney Street,,Wednesday,2009,,June,22,29055,,29055,,,,,,
03/06/2009,York,Parliament Street at M&S,,Wednesday,2009,,June,22,25504,,25504,,,,,,
04/06/2009,York,Coney Street,,Thursday,2009,,June,22,27068,,27068,,,,,,
04/06/2009,York,Parliament Street at M&S,,Thursday,2009,,June,22,18454,,18454,,,,,,
05/06/2009,York,Coney Street,,Friday,2009,,June,22,30333,,30333,,,,,,
05/06/2009,York,Parliament Street at M&S,,Friday,2009,,June,22,24193,,24193,,,,,,
06/06/2009,York,Coney Street,,Saturday,2009,,June,22,49314,,49314,,,,,,
06/06/2009,York,Parliament Street at M&S,,Saturday,2009,,June,22,37733,,37733,,,,,,
07/06/2009,York,Coney Street,,Sunday,2009,,June,22,27819,,27819,,,,,,
07/06/2009,York,Parliament Street at M&S,,Sunday,2009,,June,22,22881,,22881,,,,,,
08/06/2009,York,Coney Street,,Monday,2009,,June,23,27954,,27954,,,,,,
08/06/2009,York,Parliament Street at M&S,,Monday,2009,,June,23,26198,,26198,,,,,,
09/06/2009,York,Coney Street,,Tuesday,2009,,June,23,27097,,27097,,,,,,
09/06/2009,York,Parliament Street at M&S,,Tuesday,2009,,June,23,19643,,19643,,,,,,
10/06/2009,York,Coney Street,,Wednesday,2009,,June,23,28934,,28934,,,,,,
10/06/2009,York,Parliament Street at M&S,,Wednesday,2009,,June,23,21297,,21297,,,,,,
11/06/2009,York,Coney Street,,Thursday,2009,,June,23,28281,,28281,,,,,,
11/06/2009,York,Parliament Street at M&S,,Thursday,2009,,June,23,31847,,31847,,,,,,
12/06/2009,York,Coney Street,,Friday,2009,,June,23,34147,,34147,,,,,,
12/06/2009,York,Parliament Street at M&S,,Friday,2009,,June,23,38879,,38879,,,,,,
13/06/2009,York,Coney Street,,Saturday,2009,,June,23,49875,,49875,,,,,,
13/06/2009,York,Parliament Street at M&S,,Saturday,2009,,June,23,52988,,52988,,,,,,
14/06/2009,York,Coney Street,,Sunday,2009,,June,23,28524,,28524,,,,,,
14/06/2009,York,Parliament Street at M&S,,Sunday,2009,,June,23,25999,,25999,,,,,,
15/06/2009,York,Coney Street,,Monday,2009,,June,24,25822,,25822,,,,,,
15/06/2009,York,Parliament Street at M&S,,Monday,2009,,June,24,19657,,19657,,,,,,
16/06/2009,York,Coney Street,,Tuesday,2009,,June,24,28828,,28828,,,,,,
16/06/2009,York,Parliament Street at M&S,,Tuesday,2009,,June,24,21716,,21716,,,,,,
17/06/2009,York,Coney Street,,Wednesday,2009,,June,24,27333,,27333,,,,,,
17/06/2009,York,Parliament Street at M&S,,Wednesday,2009,,June,24,14907,,14907,,,,,,
18/06/2009,York,Coney Street,,Thursday,2009,,June,24,30771,,30771,,,,,,
18/06/2009,York,Parliament Street at M&S,,Thursday,2009,,June,24,19939,,19939,,,,,,
19/06/2009,York,Coney Street,,Friday,2009,,June,24,36458,,36458,,,,,,
19/06/2009,York,Parliament Street at M&S,,Friday,2009,,June,24,25847,,25847,,,,,,
20/06/2009,York,Coney Street,,Saturday,2009,,June,24,53616,,53616,,,,,,
20/06/2009,York,Parliament Street at M&S,,Saturday,2009,,June,24,30092,,30092,,,,,,
21/06/2009,York,Coney Street,,Sunday,2009,,June,24,29139,,29139,,,,,,
21/06/2009,York,Parliament Street at M&S,,Sunday,2009,,June,24,18137,,18137,,,,,,
22/06/2009,York,Coney Street,,Monday,2009,,June,25,29341,,29341,,,,,,
22/06/2009,York,Parliament Street at M&S,,Monday,2009,,June,25,21098,,21098,,,,,,
23/06/2009,York,Coney Street,,Tuesday,2009,,June,25,30122,,30122,,,,,,
23/06/2009,York,Parliament Street at M&S,,Tuesday,2009,,June,25,20296,,20296,,,,,,
24/06/2009,York,Coney Street,,Wednesday,2009,,June,25,29476,,29476,,,,,,
24/06/2009,York,Parliament Street at M&S,,Wednesday,2009,,June,25,20569,,20569,,,,,,
25/06/2009,York,Coney Street,,Thursday,2009,,June,25,30598,,30598,,,,,,
25/06/2009,York,Parliament Street at M&S,,Thursday,2009,,June,25,26413,,26413,,,,,,
26/06/2009,York,Coney Street,,Friday,2009,,June,25,34597,,34597,,,,,,
26/06/2009,York,Parliament Street at M&S,,Friday,2009,,June,25,23964,,23964,,,,,,
27/06/2009,York,Coney Street,,Saturday,2009,,June,25,53280,,53280,,,,,,
27/06/2009,York,Parliament Street at M&S,,Saturday,2009,,June,25,44271,,44271,,,,,,
28/06/2009,York,Coney Street,,Sunday,2009,,June,25,30917,,30917,,,,,,
28/06/2009,York,Parliament Street at M&S,,Sunday,2009,,June,25,16809,,16809,,,,,,
01/07/2009,York,Coney Street,,Wednesday,2009,,June,26,32248,,32248,,,,,,
01/07/2009,York,Parliament Street at M&S,,Wednesday,2009,,June,26,20924,,20924,,,,,,
02/07/2009,York,Coney Street,,Thursday,2009,,June,26,29805,,29805,,,,,,
02/07/2009,York,Parliament Street at M&S,,Thursday,2009,,June,26,25671,,25671,,,,,,
03/07/2009,York,Coney Street,,Friday,2009,,June,26,32572,,32572,,,,,,
03/07/2009,York,Parliament Street at M&S,,Friday,2009,,June,26,18562,,18562,,,,,,
04/07/2009,York,Coney Street,,Saturday,2009,,June,26,54274,,54274,,,,,,
04/07/2009,York,Parliament Street at M&S,,Saturday,2009,,June,26,37842,,37842,,,,,,
05/07/2009,York,Coney Street,,Sunday,2009,,June,26,29645,,29645,,,,,,
05/07/2009,York,Parliament Street at M&S,,Sunday,2009,,June,26,16931,,16931,,,,,,
29/06/2009,York,Coney Street,,Monday,2009,,June,26,29626,,29626,,,,,,
29/06/2009,York,Parliament Street at M&S,,Monday,2009,,June,26,21613,,21613,,,,,,
30/06/2009,York,Coney Street,,Tuesday,2009,,June,26,32892,,32892,,,,,,
30/06/2009,York,Parliament Street at M&S,,Tuesday,2009,,June,26,21233,,21233,,,,,,
06/07/2009,York,Coney Street,,Monday,2009,,July,27,28489,,28489,,,,,,
06/07/2009,York,Parliament Street at M&S,,Monday,2009,,July,27,21085,,21085,,,,,,
07/07/2009,York,Coney Street,,Tuesday,2009,,July,27,30394,,30394,,,,,,
07/07/2009,York,Parliament Street at M&S,,Tuesday,2009,,July,27,21355,,21355,,,,,,
08/07/2009,York,Coney Street,,Wednesday,2009,,July,27,34263,,34263,,,,,,
08/07/2009,York,Parliament Street at M&S,,Wednesday,2009,,July,27,22400,,22400,,,,,,
09/07/2009,York,Coney Street,,Thursday,2009,,July,27,31755,,31755,,,,,,
09/07/2009,York,Parliament Street at M&S,,Thursday,2009,,July,27,25307,,25307,,,,,,
10/07/2009,York,Coney Street,,Friday,2009,,July,27,36505,,36505,,,,,,
10/07/2009,York,Parliament Street at M&S,,Friday,2009,,July,27,25856,,25856,,,,,,
11/07/2009,York,Coney Street,,Saturday,2009,,July,27,49083,,49083,,,,,,
11/07/2009,York,Parliament Street at M&S,,Saturday,2009,,July,27,39011,,39011,,,,,,
12/07/2009,York,Coney Street,,Sunday,2009,,July,27,31265,,31265,,,,,,
12/07/2009,York,Parliament Street at M&S,,Sunday,2009,,July,27,17720,,17720,,,,,,
13/07/2009,York,Coney Street,,Monday,2009,,July,28,31281,,31281,,,,,,
13/07/2009,York,Parliament Street at M&S,,Monday,2009,,July,28,23826,,23826,,,,,,
14/07/2009,York,Coney Street,,Tuesday,2009,,July,28,31093,,31093,,,,,,
14/07/2009,York,Parliament Street at M&S,,Tuesday,2009,,July,28,23018,,23018,,,,,,
15/07/2009,York,Coney Street,,Wednesday,2009,,July,28,32333,,32333,,,,,,
15/07/2009,York,Parliament Street at M&S,,Wednesday,2009,,July,28,23010,,23010,,,,,,
16/07/2009,York,Coney Street,,Thursday,2009,,July,28,35927,,35927,,,,,,
16/07/2009,York,Parliament Street at M&S,,Thursday,2009,,July,28,25464,,25464,,,,,,
17/07/2009,York,Coney Street,,Friday,2009,,July,28,30123,,30123,,,,,,
17/07/2009,York,Parliament Street at M&S,,Friday,2009,,July,28,18409,,18409,,,,,,
18/07/2009,York,Coney Street,,Saturday,2009,,July,28,54402,,54402,,,,,,
18/07/2009,York,Parliament Street at M&S,,Saturday,2009,,July,28,36752,,36752,,,,,,
19/07/2009,York,Coney Street,,Sunday,2009,,July,28,28757,,28757,,,,,,
19/07/2009,York,Parliament Street at M&S,,Sunday,2009,,July,28,16222,,16222,,,,,,
20/07/2009,York,Coney Street,,Monday,2009,,July,29,35162,,35162,,,,,,
20/07/2009,York,Parliament Street at M&S,,Monday,2009,,July,29,27092,,27092,,,,,,
21/07/2009,York,Coney Street,,Tuesday,2009,,July,29,35309,,35309,,,,,,
21/07/2009,York,Parliament Street at M&S,,Tuesday,2009,,July,29,21714,,21714,,,,,,
22/07/2009,York,Coney Street,,Wednesday,2009,,July,29,37168,,37168,,,,,,
22/07/2009,York,Parliament Street at M&S,,Wednesday,2009,,July,29,25111,,25111,,,,,,
23/07/2009,York,Coney Street,,Thursday,2009,,July,29,34863,,34863,,,,,,
23/07/2009,York,Parliament Street at M&S,,Thursday,2009,,July,29,28480,,28480,,,,,,
24/07/2009,York,Coney Street,,Friday,2009,,July,29,39050,,39050,,,,,,
24/07/2009,York,Parliament Street at M&S,,Friday,2009,,July,29,21942,,21942,,,,,,
25/07/2009,York,Coney Street,,Saturday,2009,,July,29,48376,,48376,,,,,,
25/07/2009,York,Parliament Street at M&S,,Saturday,2009,,July,29,39868,,39868,,,,,,
26/07/2009,York,Coney Street,,Sunday,2009,,July,29,30135,,30135,,,,,,
26/07/2009,York,Parliament Street at M&S,,Sunday,2009,,July,29,14336,,14336,,,,,,
01/08/2009,York,Coney Street,,Saturday,2009,,July,30,48791,,48791,,,,,,
01/08/2009,York,Parliament Street at M&S,,Saturday,2009,,July,30,36543,,36543,,,,,,
02/08/2009,York,Coney Street,,Sunday,2009,,July,30,35606,,35606,,,,,,
02/08/2009,York,Parliament Street at M&S,,Sunday,2009,,July,30,16292,,16292,,,,,,
27/07/2009,York,Coney Street,,Monday,2009,,July,30,32644,,32644,,,,,,
27/07/2009,York,Parliament Street at M&S,,Monday,2009,,July,30,29972,,29972,,,,,,
28/07/2009,York,Coney Street,,Tuesday,2009,,July,30,37969,,37969,,,,,,
28/07/2009,York,Parliament Street at M&S,,Tuesday,2009,,July,30,23960,,23960,,,,,,
29/07/2009,York,Coney Street,,Wednesday,2009,,July,30,35615,,35615,,,,,,
29/07/2009,York,Parliament Street at M&S,,Wednesday,2009,,July,30,24507,,24507,,,,,,
30/07/2009,York,Coney Street,,Thursday,2009,,July,30,34457,,34457,,,,,,
30/07/2009,York,Parliament Street at M&S,,Thursday,2009,,July,30,25717,,25717,,,,,,
31/07/2009,York,Coney Street,,Friday,2009,,July,30,40051,,40051,,,,,,
31/07/2009,York,Parliament Street at M&S,,Friday,2009,,July,30,35811,,35811,,,,,,
03/08/2009,York,Coney Street,,Monday,2009,,August,31,36913,,36913,,,,,,
03/08/2009,York,Parliament Street at M&S,,Monday,2009,,August,31,29963,,29963,,,,,,
04/08/2009,York,Coney Street,,Tuesday,2009,,August,31,37321,,37321,,,,,,
04/08/2009,York,Parliament Street at M&S,,Tuesday,2009,,August,31,24935,,24935,,,,,,
05/08/2009,York,Coney Street,,Wednesday,2009,,August,31,37351,,37351,,,,,,
05/08/2009,York,Parliament Street at M&S,,Wednesday,2009,,August,31,26397,,26397,,,,,,
06/08/2009,York,Coney Street,,Thursday,2009,,August,31,36333,,36333,,,,,,
06/08/2009,York,Parliament Street at M&S,,Thursday,2009,,August,31,30120,,30120,,,,,,
07/08/2009,York,Coney Street,,Friday,2009,,August,31,38276,,38276,,,,,,
07/08/2009,York,Parliament Street at M&S,,Friday,2009,,August,31,29862,,29862,,,,,,
08/08/2009,York,Coney Street,,Saturday,2009,,August,31,48883,,48883,,,,,,
08/08/2009,York,Parliament Street at M&S,,Saturday,2009,,August,31,46071,,46071,,,,,,
09/08/2009,York,Coney Street,,Sunday,2009,,August,31,31849,,31849,,,,,,
09/08/2009,York,Parliament Street at M&S,,Sunday,2009,,August,31,21528,,21528,,,,,,
10/08/2009,York,Coney Street,,Monday,2009,,August,32,34653,,34653,,,,,,
10/08/2009,York,Parliament Street at M&S,,Monday,2009,,August,32,19829,,19829,,,,,,
11/08/2009,York,Coney Street,,Tuesday,2009,,August,32,37351,,37351,,,,,,
11/08/2009,York,Parliament Street at M&S,,Tuesday,2009,,August,32,28203,,28203,,,,,,
12/08/2009,York,Coney Street,,Wednesday,2009,,August,32,35256,,35256,,,,,,
12/08/2009,York,Parliament Street at M&S,,Wednesday,2009,,August,32,33164,,33164,,,,,,
13/08/2009,York,Coney Street,,Thursday,2009,,August,32,36250,,36250,,,,,,
13/08/2009,York,Parliament Street at M&S,,Thursday,2009,,August,32,29184,,29184,,,,,,
14/08/2009,York,Coney Street,,Friday,2009,,August,32,40649,,40649,,,,,,
14/08/2009,York,Parliament Street at M&S,,Friday,2009,,August,32,26317,,26317,,,,,,
15/08/2009,York,Coney Street,,Saturday,2009,,August,32,48873,,48873,,,,,,
15/08/2009,York,Parliament Street at M&S,,Saturday,2009,,August,32,34742,,34742,,,,,,
16/08/2009,York,Coney Street,,Sunday,2009,,August,32,30591,,30591,,,,,,
16/08/2009,York,Parliament Street at M&S,,Sunday,2009,,August,32,15647,,15647,,,,,,
17/08/2009,York,Coney Street,,Monday,2009,,August,33,36469,,36469,,,,,,
17/08/2009,York,Parliament Street at M&S,,Monday,2009,,August,33,34763,,34763,,,,,,
18/08/2009,York,Coney Street,,Tuesday,2009,,August,33,35911,,35911,,,,,,
18/08/2009,York,Parliament Street at M&S,,Tuesday,2009,,August,33,26377,,26377,,,,,,
19/08/2009,York,Coney Street,,Wednesday,2009,,August,33,33952,,33952,,,,,,
19/08/2009,York,Parliament Street at M&S,,Wednesday,2009,,August,33,28022,,28022,,,,,,
20/08/2009,York,Coney Street,,Thursday,2009,,August,33,38697,,38697,,,,,,
20/08/2009,York,Parliament Street at M&S,,Thursday,2009,,August,33,28340,,28340,,,,,,
21/08/2009,York,Coney Street,,Friday,2009,,August,33,43001,,43001,,,,,,
21/08/2009,York,Parliament Street at M&S,,Friday,2009,,August,33,32233,,32233,,,,,,
22/08/2009,York,Coney Street,,Saturday,2009,,August,33,48475,,48475,,,,,,
22/08/2009,York,Parliament Street at M&S,,Saturday,2009,,August,33,45758,,45758,,,,,,
23/08/2009,York,Coney Street,,Sunday,2009,,August,33,31285,,31285,,,,,,
23/08/2009,York,Parliament Street at M&S,,Sunday,2009,,August,33,20352,,20352,,,,,,
24/08/2009,York,Coney Street,,Monday,2009,,August,34,34369,,34369,,,,,,
24/08/2009,York,Parliament Street at M&S,,Monday,2009,,August,34,22049,,22049,,,,,,
25/08/2009,York,Coney Street,,Tuesday,2009,,August,34,33760,,33760,,,,,,
25/08/2009,York,Parliament Street at M&S,,Tuesday,2009,,August,34,36520,,36520,,,,,,
26/08/2009,York,Coney Street,,Wednesday,2009,,August,34,32380,,32380,,,,,,
26/08/2009,York,Parliament Street at M&S,,Wednesday,2009,,August,34,22012,,22012,,,,,,
27/08/2009,York,Coney Street,,Thursday,2009,,August,34,35249,,35249,,,,,,
27/08/2009,York,Parliament Street at M&S,,Thursday,2009,,August,34,32947,,32947,,,,,,
28/08/2009,York,Coney Street,,Friday,2009,,August,34,36787,,36787,,,,,,
28/08/2009,York,Parliament Street at M&S,,Friday,2009,,August,34,35637,,35637,,,,,,
29/08/2009,York,Coney Street,,Saturday,2009,,August,34,51191,,51191,,,,,,
29/08/2009,York,Parliament Street at M&S,,Saturday,2009,,August,34,40634,,40634,,,,,,
30/08/2009,York,Coney Street,,Sunday,2009,,August,34,37025,,37025,,,,,,
30/08/2009,York,Parliament Street at M&S,,Sunday,2009,,August,34,20002,,20002,,,,,,
01/09/2009,York,Coney Street,,Tuesday,2009,,September,35,32995,,32995,,,,,,
