Date,SiteName,LocationName,WeekDay,BRCYear,InCount,OutCount,TotalCount
29/01/2024,NewYork,ATM Outlets,Monday,2024,2653.0,1911.0,4564.0
29/01/2024,NewYork,ShoppingMall,Monday,2024,3555.0,4271.0,7826.0
30/01/2024,NewYork,ATM Outlets,Tuesday,2024,3692.0,2540.0,6232.0
30/01/2024,NewYork,ShoppingMall,Tuesday,2024,4979.0,5097.0,10076.0
31/01/2024,NewYork,ATM Outlets,Wednesday,2024,3221.0,2446.0,5667.0
31/01/2024,NewYork,ShoppingMall,Wednesday,2024,4894.0,5325.0,10219.0
05/02/2024,NewYork,ATM Outlets,Monday,2024,3223.0,2586.0,5809.0
05/02/2024,NewYork,ShoppingMall,Monday,2024,5149.0,5552.0,10701.0
06/02/2024,NewYork,ATM Outlets,Tuesday,2024,3132.0,2409.0,5541.0
06/02/2024,NewYork,ShoppingMall,Tuesday,2024,4822.0,4933.0,9755.0
07/02/2024,NewYork,ATM Outlets,Wednesday,2024,3874.0,2837.0,6711.0
07/02/2024,NewYork,ShoppingMall,Wednesday,2024,7073.0,7524.0,14597.0
08/02/2024,NewYork,ATM Outlets,Thursday,2024,2618.0,2260.0,4878.0
08/02/2024,NewYork,ShoppingMall,Thursday,2024,4549.0,5364.0,9913.0
09/02/2024,NewYork,ATM Outlets,Friday,2024,3644.0,3119.0,6763.0
09/02/2024,NewYork,ShoppingMall,Friday,2024,6064.0,6459.0,12523.0
10/02/2024,NewYork,ATM Outlets,Saturday,2024,4713.0,4297.0,9010.0
10/02/2024,NewYork,ShoppingMall,Saturday,2024,10092.0,10251.0,20343.0
11/02/2024,NewYork,ATM Outlets,Sunday,2024,4254.0,3711.0,7965.0
11/02/2024,NewYork,ShoppingMall,Sunday,2024,8001.0,8414.0,16415.0
12/02/2024,NewYork,ATM Outlets,Monday,2024,4590.0,3807.0,8397.0
12/02/2024,NewYork,ShoppingMall,Monday,2024,11232.0,11849.0,23081.0
13/02/2024,NewYork,ATM Outlets,Tuesday,2024,4399.0,3641.0,8040.0
13/02/2024,NewYork,ShoppingMall,Tuesday,2024,8579.0,8735.0,17314.0
14/02/2024,NewYork,ATM Outlets,Wednesday,2024,4813.0,3775.0,8588.0
14/02/2024,NewYork,ShoppingMall,Wednesday,2024,10260.0,10342.0,20602.0
15/02/2024,NewYork,ATM Outlets,Thursday,2024,4780.0,3908.0,8688.0
15/02/2024,NewYork,ShoppingMall,Thursday,2024,9129.0,8798.0,17927.0
16/02/2024,NewYork,ATM Outlets,Friday,2024,5056.0,4296.0,9352.0
16/02/2024,NewYork,ShoppingMall,Friday,2024,11050.0,10402.0,21452.0
17/02/2024,NewYork,ATM Outlets,Saturday,2024,4430.0,4915.0,9345.0
17/02/2024,NewYork,ShoppingMall,Saturday,2024,14820.0,13426.0,28246.0
18/02/2024,NewYork,ATM Outlets,Sunday,2024,3821.0,3566.0,7387.0
